Category,Headline,Article,Final_Category
SPORTS,"അയ്യർ ദ ഗ്രേറ്റ്‌! ആദ്യ മത്സരത്തിൽ ""കിവികളെ പറത്തി ഇന്ത്യ'","ഓക്‌ലാന്റ്‌ > അവസാന ഓവറുകളിൽ ശ്രേയസ് അയ്യർ ആഞ്ഞടിച്ചപ്പോൾ  ന്യൂസീലൻഡിനെതിരായ ഒന്നാം ട്വന്റി20 മത്സരത്തിൽ ഇന്ത്യയ്‌ക്ക്‌ ആറ്‌ വിക്കറ്റിന്റെ ഉജ്ജ്വല വിജയം. ആദ്യം ബാറ്റ്‌ ചെയ്‌ത ന്യൂസിലൻഡ്‌ ഉയർത്തിയ 204 റൺസ്‌ വിജയലക്ഷ്യം ആറു പന്തു ബാക്കിനിൽക്കെ നാലു വിക്കറ്റ് മാത്രം നഷ്ടത്തിൽ ഇന്ത്യ മറികടന്നു. ഇതോടെ അഞ്ചു മത്സരങ്ങളടങ്ങിയ പരമ്പരയിൽ ഇന്ത്യ 1–0ന് മുന്നിലെത്തി. ഓക്‌ലൻ‍ഡ് ഈഡൻ പാർക്കിൽ നടന്ന ഒന്നാം ട്വന്റി20യിൽ അനായാസ ജയമായിരുന്നു ഇന്ത്യയുടേത്‌. 



 ട്വന്റി20യിലെ 10–ാം അർധസെഞ്ചുറി കണ്ടെത്തിയ ഓപ്പണർ ലോകഷ് രാഹുൽ (27 പന്തിൽ 56), രണ്ടാം അർധസെഞ്ചുറി കണ്ടെത്തിയ ശ്രേയസ് അയ്യർ (29 പന്തിൽ പുറത്താകാതെ 58) എന്നിവർ ചേർന്നാണ് ഇന്ത്യൻ വിജയം അനായാസമാക്കിയത്. ക്യാപ്റ്റൻ വിരാട് കോലി 32 പന്തിൽ 45 റൺസെടുത്ത് ഇന്ത്യൻ വിജയത്തിൽ നിർണായക സംഭാവന നൽകി. രണ്ടാം വിക്കറ്റിൽ ലോകേഷ് രാഹുൽ – വിരാട് കോലി സഖ്യം പടുത്തുയർത്തിയ 99 റൺസിന്റെ കൂട്ടുകെട്ടാണ് ഇന്ത്യൻ ഇന്നിങ്സിന്റെ നട്ടെല്ല്. രോഹിത് ശർമ (ആറു പന്തിൽ ഏഴ്), ശിവം ദുബെ (ഒൻപതു പന്തൽ 13) എന്നിവരാണ് പുറത്തായ മറ്റുള്ളവർ. മനീഷ് പാണ്ഡെ 12 പന്തിൽ 14 റൺസുമായി പുറത്താകാതെ നിന്നു. ന്യൂസീലൻഡിനായി ഇഷ് സോധി രണ്ടും മിച്ചൽ സാന്റ്നർ, ബ്ലയർ ടിക്‌നർ എന്നിവർ ഓരോ വിക്കറ്റും വീഴ്ത്തി.



ന്യൂസീലൻഡ് ഉയർത്തിയ 204 റൺസിന്റെ കൂറ്റൻ വിജയലക്ഷ്യത്തിലേക്ക് ബാറ്റെടുത്ത ഇന്ത്യയുടെ തുടക്കം തകർച്ചയോടെയായിരുന്നു. സ്കോർ ബോർഡിൽ 16 റൺസുള്ളപ്പോൾ രോഹിത് ശർമ പുറത്തായി. ആറു പന്തിൽ ഒരു സിക്സ് സഹിതം ഏഴു റൺസെടുത്ത രോഹിത്തിനെ മിച്ചൽ സാന്റ്നറാണ് പുറത്താക്കിയത്. റോസ് ടെയ്‍ലർ ക്യാച്ചെടുത്തു. സാന്റ്നറിനെതിരെ സിക്സ് നേടിയതിനു തൊട്ടുപിന്നാലെയാണ് രോഹിത് പുറത്തായത്.",sports
National,വളർച്ചയിൽ മന്ദഗതി തുടരുമെന്ന്‌ ഇന്ത്യ റേറ്റിങ്‌,"ന്യൂഡൽഹി 

അടുത്ത സാമ്പത്തികവർഷവും ഇന്ത്യയുടെ മൊത്തം ആഭ്യന്തര ഉൽപ്പാദന (ജിഡിപി) വളർച്ച ഉയരാൻ ഇടയില്ലെന്ന്‌ ഇന്ത്യ റേറ്റിങ്‌ ആൻഡ്‌ റിസർച്ച്‌ സർവേ. 2020–-21ൽ വളർച്ച 5.5 ശതമാനമാകുമെന്നാണ്‌ നിഗമനം. ഇക്കൊല്ലം വളർച്ച അഞ്ച്‌ ശതമാനമായി ഇടിയുമെന്ന്‌‌ കേന്ദ്രസർക്കാർ സ്ഥിരീകരിച്ചു. 4.8 ശതമാനം വളർച്ചയേ ഉണ്ടാകൂ എന്നാണ്‌ ഐഎംഎഫ്‌ വിലയിരുത്തൽ.



കഴിഞ്ഞ ബജറ്റിൽ ധനമന്ത്രി നിർമല സീതാരാമൻ അവകാശപ്പെട്ടത്‌ ഏഴ്‌ ശതമാനം വളർച്ചയാണ്‌. 2014 ഓടെ സമ്പദ്‌ഘടനയുടെ മൂല്യം അഞ്ച്‌ ലക്ഷം കോടി ഡോളറായി ഉയർത്തുകയാണ്‌ ലക്ഷ്യമെന്ന്‌ പ്രധാനമന്ത്രി നരേന്ദ്ര മോഡി പ്രഖ്യാപിച്ചു. എന്നാൽ, ഈ ലക്ഷ്യം കൈവരിക്കാൻ സമ്പദ്‌ഘടന 2020 മുതൽ നാലു വർഷം ഒമ്പത്‌ ശതമാനംവീതം വളരണമെന്ന്‌ സാമ്പത്തികശാസ്‌ത്രജ്ഞൻ ആർ നാഗരാജ്‌ പറഞ്ഞു. 



2020–-21ൽ രാജ്യത്തിന്റെ വളർച്ച ആറ്‌ ശതമാനത്തിൽ എത്തില്ലെന്ന്‌ ഐക്യരാഷ്ട്രസംഘടന -സാമൂഹ്യ–-സാമ്പത്തിക കമീഷനും വ്യക്തമാക്കി.ഉപഭോഗത്തിലെ വൻ ഇടിവാണ്‌ മാന്ദ്യത്തിന്‌ പ്രധാനകാരണമെന്ന്‌ ധനകാര്യ ഏജൻസികളും വിദഗ്‌ധരും പറയുന്നു. ഗ്രാമീണമേഖലയിൽ ഉപഭോക്‌തൃ ചെലവിൽ 2011–-12നും 2017–-18നും ഇടയിൽ 8.8 ശതമാനം ഇടിവുണ്ടായെന്ന്‌ ദേശീയ സാമ്പിൾ സർവേ റിപ്പോർട്ടിൽ വ്യക്തമായതോടെ സർക്കാർ ഈ റിപ്പോർട്ട്‌ പൂഴ്‌ത്തി. നഗരമേഖലയിൽ ഉപഭോക്‌തൃ ചെലവിൽ രണ്ട്‌ ശതമാനം വളർച്ച ഉണ്ടായെങ്കിലും രാജ്യത്ത്‌ ശരാശരി ഇടിവ്‌ 3.7 ശതമാനമാണ്‌.



വാഹനങ്ങൾമുതൽ ബിസ്‌കറ്റിന്റെവരെ വിൽപ്പന ഇടിഞ്ഞു. ജനങ്ങളുടെ കൈവശം പണമില്ലാത്തതും പെരുകുന്ന തൊഴിലില്ലായ്‌മയും മാന്ദ്യം രൂക്ഷമാക്കുന്നു. നിക്ഷേപങ്ങളും കുറയുന്നു. ഉപഭോക്‌തൃമേഖലയിലെ തളർച്ച സാർവത്രിക പ്രതിസന്ധിക്ക്‌ കാരണമായി. നോട്ടുനിരോധനം, അശാസ്‌ത്രീയ ജിഎസ്‌ടി എന്നിവയും വിപണിയെ ഉലച്ചു.

റിപ്പോനിരക്കുകൾ കുറച്ചും ഓഹരിവിപണിയിൽ കുതിപ്പ്‌ സൃഷ്ടിച്ചും വളർച്ച വീണ്ടെടുക്കാൻ കഴിയില്ലെന്ന്‌ ഐക്യരാഷ്ട്രസംഘടന ഏഷ്യ–-പസഫിക്‌ സാമൂഹ്യ–-സാമ്പത്തിക കമീഷൻ തലവൻ ഡോ. നാഗേഷ്‌കുമാർ പറഞ്ഞു. അടിസ്ഥാനസൗകര്യമേഖല, വിദ്യാഭ്യാസം, സുസ്ഥിര ഊർജം എന്നീ രംഗങ്ങളിൽ സർക്കാർ കൂടുതൽ മുതൽമുടക്കിയാൽ  തൊഴിലവസരം വർധിക്കും.",business
SPORTS,തോറ്റ് തോറ്റ്‌ യുണൈറ്റഡ്‌,"ലണ്ടൻ

മാഞ്ചസ്റ്റർ യുണൈറ്റഡിന്‌ തോൽവി തന്നെ. ഇംഗ്ലീഷ്‌ പ്രീമിയർ ലീഗിൽ തുടർച്ചയായ രണ്ടാം കളിയിലും പരാജയമറിഞ്ഞു. സ്വന്തം തട്ടകത്തിൽ പട്ടികയിൽ 13–-ാമതുള്ള ബേൺലിയോട്‌ രണ്ട്‌ ഗോളിനാണ്‌ യുണൈറ്റഡ്‌ കീഴടങ്ങിയത്‌. ലീഗിന്റെ ചരിത്രത്തിൽ ആദ്യമായാണ്‌ ഓൾഡ്‌ ട്രാഫോഡിൽ മാഞ്ചസ്റ്ററുകാർ ബേൺലിയോട്‌ തോൽക്കുന്നത്‌. ക്രിസ്‌ വൂഡും ജെ റോഡ്രിഗസമുമാണ്‌ വിജയഗോൾ കുറിച്ചത്‌.",sports
SPORTS,ഇന്ന്‌ കിവികൾക്കെതിരെ ; അഞ്ച്‌ മത്സര ട്വന്റി‐20 പരമ്പരയ്‌ക്ക്‌ ഇന്ന്‌ തുടക്കം,"ഓക്‌ലൻഡ്‌

ഏകദിന ലോകകപ്പ്‌ സെമിയിലെ തോൽവിക്കുശേഷം ഇന്ത്യ ന്യൂസിലൻഡുമായി കളിച്ചിട്ടില്ല. ഇന്ന്‌ വീണ്ടും ഇരു ടീമുകളും മുഖാമുഖമെത്തുന്നു. ട്വന്റി–-20യിലാണ്‌ പോരാട്ടം. ഓക്‌ലൻഡാണ്‌ വേദി. ആകെ അഞ്ച്‌ ട്വന്റി–-20 യാണ്‌ പരമ്പരയിൽ. മൂന്ന്‌ ഏകദിനവും രണ്ട്‌ ടെസ്‌റ്റുമുൾപ്പെടെ രണ്ടാഴ്‌ച നീളുന്ന പരമ്പര. ട്വന്റി–-20 ലോകകപ്പിനുള്ള ഒരുക്കത്തിലാണ്‌ ടീമുകൾ. ലോകകപ്പ്‌ സെമിയിൽ 18 റണ്ണിനാണ്‌ കെയ്‌ൻ വില്യംസണും സംഘവും ഇന്ത്യയെ കീഴടക്കിയത്‌. ലോകകപ്പ്‌ തോൽവിക്കുശേഷം ഇന്ത്യ തുടർജയങ്ങളുമായി മുന്നേറി. ന്യൂസിലൻഡിന്‌ തിരിച്ചടികളായിരുന്നു.",sports
Kerala,"ഗവർണറെ തിരിച്ചുവിളിക്കാൻ സഭയിൽ പ്രമേയം കൊണ്ടുവരുമെന്ന്‌ പ്രതിപക്ഷം; ""നിയമസഭയുടെ അന്തസിനെ ചോദ്യംചെയ്യുന്നു' - ചെന്നിത്തല",കൊച്ചി > ഗവർണർ ആരിഫ്‌ മുഹമ്മദ്‌ ഖാൻ സംസ്ഥാന നിയമസഭയുടെ അന്തസിനെ ചോദ്യംചെയ്യുന്നുവെന്ന്‌ പ്രതിപക്ഷ നേതാവ്‌ രമേശ്‌ ചെന്നിത്തല. ഗവർണറെ തിരികെ വിളിക്കാൻ പ്രമേയം അവതരിപ്പിക്കണമെന്ന്‌ ആവശ്യപ്പെട്ട്‌ സ്‌പീക്കർക്ക്‌ നോട്ടീസ്‌ നൽകി. നയപ്രഖ്യാപന പ്രസംഗത്തിൽ പൗരത്വ നിയമത്തിനെതിരായ വിമർശനം ഉൾപ്പെടുത്തിയതിൽ സർക്കാരിനോട്‌ വിശദീകരണം തേടിയതിന്‌ പിന്നാലെയാണ്‌ ചെന്നിത്തല ഗവർണർക്കെതിരെ രൂക്ഷമായ ആരോപണം ഉന്നയിച്ചത്‌. നിയമസഭാചരിത്രത്തിൽത്തന്നെ ആദ്യമായാണ്‌ ഇത്തരമൊരു പ്രമേയം അവതരിപ്പിക്കുന്നത്‌.,business
SPORTS,"റയൽ, ബാഴ്‌സ മുന്നോട്ട്‌","ഇബിസ

സ്‌പാനിഷ്‌ ദ്വീപ്‌ ഇബിസയിൽ ബാഴ്‌സലോണ ഒന്നു പതറി. സ്‌പാനിഷ്‌ കിങ്‌സ്‌ കപ്പ്‌ മത്സരമായിരുന്നു വേദി. മൂന്നാം ഡിവിഷൻ ക്ലബ്‌ യുഡി ഇബിസയോട്‌ തുടക്കത്തിൽത്തന്നെ ഒരു ഗോൾ വഴങ്ങിയ ബാഴ്‌സ പരിക്കുസമയത്ത്‌ ജയം നേടുകയായിരുന്നു. ഒന്നിനെതിരെ രണ്ട്‌ ഗോളിനാണ്‌ ജയം. റയൽ മാഡ്രിഡ്‌ മൂന്നാം ഡിവിഷൻ ക്ലബ് യുനിയൊനിസ്‌റ്റാസിനെ 3–-1ന്‌ തോൽപ്പിച്ച്‌ അവസാന പതിനാറിൽ എത്തി.",sports
SPORTS,സാമൂതിരി സ്‌കൂൾ ചാമ്പ്യൻമാർ,"ആലുവ

മാർ അത്തനേഷ്യസ് ട്രോഫി അഖിലേന്ത്യ ഇന്റർ സ്കൂൾ ഇൻവിറ്റേഷൻ ഫുട്ബോൾ ടൂർണമെന്റിൽ  കോഴിക്കോട്‌ സാമൂതിരീസ്‌ ഹയർ സെക്കൻഡറി സ്‌കൂൾ ചാമ്പ്യൻമാരായി. 

ഷൂട്ടൗട്ടിൽ 6–-5ന്‌ എറണാകുളം പനമ്പിള്ളി ഹയർ സെക്കൻഡറി സ്‌കൂളിനെ തോൽപ്പിച്ചു. നിശ്‌ചിത സമയത്ത്‌ ഇരുടീമും രണ്ടുവീതം ഗോളടിച്ചു. പനമ്പിള്ളിനഗർ സ്‌കൂളിന്റെ പ്രണവാണ്‌ മികച്ച കളിക്കാരൻ.",sports
National,കെല്‍ട്രോണിന് പ്രതിരോധവകുപ്പിന്റെ 8.37 കോടിയുടെ ഓര്‍ഡര്‍,"തിരുവനന്തപുരം >  സംസ്ഥാന പൊതുമേഖലാ സ്ഥാപനമായ കെല്‍ട്രോണിന് പ്രതിരോധ വകുപ്പില്‍ നിന്ന് 8.37 കോടി രൂപയുടെ ഓര്‍ഡര്‍. നാവികസേനയുടെ കപ്പലുകളിലും മുങ്ങിക്കപ്പലുകളിലും ഉപയോഗിക്കുന്ന അണ്ടര്‍ വാട്ടര്‍ കമ്മ്യുണിക്കേഷന്‍ സംവിധാനത്തിന്റെ രൂപകല്‍പനയ്ക്കും നിര്‍മ്മാണത്തിനുമാണ് കെല്‍ട്രോണിന് ഓര്‍ഡര്‍ ലഭിച്ചത്.



കപ്പലുകള്‍ തമ്മില്‍ ഡാറ്റ, ശബ്ദസന്ദേശം എന്നിവയിലൂടെ ആശയവിനിമയം സാധ്യമാക്കുന്നതാണ് അണ്ടര്‍വാട്ടര്‍ കമ്മ്യുണിക്കേഷന്‍ സംവിധാനം. റേഡിയോ തരംഗങ്ങള്‍ വഴിയാണ് ഈ ആശയവിനിമയം. കപ്പലുകള്‍ തമ്മിലുള്ള ദൂരം, മുന്നില്‍ വരുന്ന തടസ്സങ്ങള്‍ എന്നിവ മനസ്സിലാക്കി വിവരങ്ങള്‍ നല്‍കാനും ഉപകരണത്തിന് കഴിയും. ആധുനിക സോഫ്റ്റ്‌വെയറില്‍ നിര്‍മിക്കുന്ന ഉപകരണം പ്രവര്‍ത്തനത്തിലും നിലവാരത്തിലും മികവുറ്റതായിരിക്കും.  



കെല്‍ട്രോണിന്റെ തിരുവനന്തപുരം കരകുളത്തെ യൂണിറ്റിലെ സ്‌പെഷ്യല്‍ പ്രോഡക്റ്റ്‌സ് ഗ്രൂപ്പാണ് അണ്ടര്‍ വാട്ടര്‍ കമ്മ്യുണിക്കേഷന്‍ സംവിധാനം നിര്‍മിക്കുന്നത്. രാജ്യത്തെ പ്രതിരോധ മേഖലയ്ക്ക് കഴിഞ്ഞ 30 വര്‍ഷമായി ഇലക്ട്രോണിക്‌സ് ഉല്‍പ്പന്നങ്ങള്‍ കെല്‍ട്രോണ്‍ നിര്‍മിച്ച് നല്‍കുന്നുണ്ട്. നാവികസേനയുടെ മുങ്ങിക്കപ്പലുകളില്‍ ഉപയോഗിക്കുന്ന എക്കോസൗണ്ടറിന്റെ രൂപകല്‍പനയ്ക്കും നിര്‍മ്മാണവും കെല്‍ട്രോണ്‍ നിര്‍വഹിക്കുന്നുണ്ട്.  5.63 കോടി രൂപയുടെ ഓര്‍ഡറാണ് കഴിഞ്ഞ ഒക്ടോബറില്‍ ലഭിച്ചത്. പ്രതിരോധ മേഖലയില്‍ നിന്ന് 85 കോടിയലേറെ രൂപയുടെ ഓര്‍ഡറുകള്‍ നിലവില്‍ കെല്‍ട്രോണിനുണ്ട്.



പ്രതിരോധ ഇലക്ട്രോണിക്‌സ് മേഖലയില്‍ പുതിയ പദ്ധതികള്‍ നടപ്പാക്കുന്നതിന് വ്യവസായ വകുപ്പ് കെല്‍ട്രോണില്‍  ആധുനികവല്‍കരണ പ്രവര്‍ത്തനങ്ങള്‍ ആരംഭിച്ചിട്ടുണ്ട്. 9.56 കോടി രൂപയുടെ വികസനപ്രവര്‍ത്തനങ്ങളാണ് തിരുവനന്തപുരത്തെ കരകുളം യൂണിറ്റിലും ആലപ്പുഴയിലെ അരൂര്‍ യൂണിറ്റിലും നടത്തുന്നത്. അണ്ടര്‍ വാട്ടര്‍ കമ്മ്യുണിക്കേഷന്‍ സംവിധാനം, എക്കോ സൗണ്ടര്‍  എന്നിവയുടെ കൂടുതല്‍ ഓര്‍ഡറുകള്‍ പ്രതിരോധ വകുപ്പില്‍ നിന്ന് കെല്‍ട്രോണ്‍ പ്രതീക്ഷിക്കുന്നു. നവീകരണപ്രവര്‍ത്തനങ്ങളും പുതിയ ഓര്‍ഡറുകളും സംസ്ഥാനത്തെ പൊതുമേഖലാ വ്യവസായ രംഗത്തിന് കൂടുതല്‍ കരുത്തുപകരും. ഒപ്പം ഈ മേഖലയില്‍ കൂടുതല്‍ തൊഴിലവസരങ്ങളും ഉണ്ടാകും.",business
Kerala,കേന്ദ്ര ബജറ്റ്‌: കേരളം സമർപ്പിച്ചത്‌ ഏഴിന നിർദേശം,"തിരുവനന്തപുരം> കേന്ദ്ര ബജറ്റിൽ പരിഗണിക്കാൻ പതിവ്‌ ആവശ്യങ്ങൾക്കൊപ്പം കേരളം സമർപ്പിച്ചത്‌ ഏഴിന നിർദേശങ്ങൾ. സംസ്ഥാനത്തിന്റെ നിലവിലെ സാമ്പത്തികസ്ഥിതി കണക്കിലെടുത്ത്‌ ഈ ആവശ്യങ്ങൾ കേന്ദ്രാവിഷ്‌കൃത പദ്ധതികളായി ബജറ്റിൽ ഉൾപ്പെടുത്തണമെന്ന്‌ ധനമന്ത്രി ടി എം തോമസ്‌ ഐസക്‌  കേന്ദ്ര ധനമന്ത്രി നിർമല സീതരാമന്‌ അയച്ച കത്തിൽ ആവശ്യപ്പെട്ടു. 



പ്രധാന ആവശ്യങ്ങൾ



● കടമെടുപ്പ്‌ പരിധി  ഉയർത്തണം. നിലവിൽ മൂന്നു ശതമാനം അനുമതിയുണ്ടായിട്ടും 18,000 കോടി രൂപയുടെ വായപാനുമതിയാണ്‌ ഈ വർഷം ലഭിച്ചത്‌. ബജറ്റിൽ പ്രതീക്ഷിച്ച വായ്‌പാവരുമാനത്തിൽ 10,000 കോടി രൂപ അവസാനപാദത്തിൽ കുറഞ്ഞു. 

  

● തൊഴിലുറപ്പ്‌ വേതനം 50 രൂപ കൂടിയെങ്കിലും ഉയർത്തണം.  കുറഞ്ഞത്‌ 100 ദിവസം ജോലി എന്നത്‌ 150 ദിവസമായി ഉയർത്തണം. നഗരങ്ങളിലേക്കും  വ്യാപിപ്പിക്കണം. 



● റബറിന്‌ താങ്ങുവില 200 രൂപയാക്കണം.  കിലോഗ്രാമിന്‌ 50 രൂപവീതം കേന്ദ്ര സബ്‌സിഡി അനുവദിക്കണം. 



●കണ്ണൂരിൽ അന്താരാഷ്‌ട്ര ആയുർവേദ ഇൻസ്‌റ്റിറ്റ്യൂട്ടിന്‌  വാഗ്‌ദാനംചെയ്‌ത സഹായം അനുവദിക്കണം.  



●56,432 കോടി രൂപ അടങ്കൽ പ്രതീക്ഷിക്കുന്ന വേഗ റെയിൽ പദ്ധതിക്ക്‌  അന്തിമാനുമതിയും അന്താരാഷ്‌ട്ര ഏജൻസികളിൽനിന്ന്‌ സാമ്പത്തികസഹായം തേടുന്നതിനുള്ള അനുമതിയും വേണം.



●എയിംസിന്‌ തുല്യമായ മെഡിക്കൽ ഇൻസ്‌റ്റിറ്റ്യൂട്ട്‌  പ്രഖ്യാപിക്കണം. ഇതിനായി 200 ഏക്കർ ഭൂമി കോഴിക്കോട്‌ ജില്ലയിൽ കണ്ടെത്തിയിട്ടുണ്ട്‌. 



● തലശേരി മലബാർ ക്യാൻസർ സെന്ററിനെ കേന്ദ്ര സർക്കാരിന്റെ രാഷ്‌ട്രീയ ആരോഗ്യനിധി പദ്ധതിയിൽ ഉൾപ്പെടുത്തണം. 



● കൊച്ചിൻ ഷിപ്പ്‌യാർഡ്‌ അടക്കം സ്വകാര്യമേഖലയ്‌ക്ക്‌ കൈമാറാനുള്ള നീക്കത്തിൽനിന്ന്‌ പിന്മാറണം.",business
National,"""ഹിറ്റ്‌ലറിന്റെ അന്ത്യം എങ്ങനെയായിരുന്നുവെന്ന്‌ ഓർമയില്ലേ; ഒരിക്കല്‍ കണക്കു പറയേണ്ടി വരും"" ‐ പ്രശാന്ത്‌ ഭൂഷൺ","ന്യൂഡൽഹി > ആസാദി മുദ്രാവാക്യം രാജ്യദ്രോഹമാണെന്ന് പറഞ്ഞ ഉത്തര്‍പ്രദേശ് മുഖ്യമന്ത്രി യോഗി ആദിത്യനാഥിനെതിരെ രൂക്ഷ വിമര്‍ശനവുമായി മുതിര്‍ന്ന അഭിഭാഷകനും മാധ്യമപ്രവര്‍ത്തകനുമായ പ്രശാന്ത് ഭൂഷണ്‍. ആസാദി മുദ്രാവാക്യം വിളിക്കുന്നത് രാജ്യദ്രോഹക്കുറ്റമാണെന്നും കര്‍ശന നടപടിയെടുക്കുമെന്നും പറയുന്ന യോഗി ആദിത്യനാഥ്, ഹിറ്റ്‌ലറിന് അവസാനം എന്തുസംഭവിച്ചു എന്നത് മറക്കേണ്ടെന്നും പ്രശാന്ത് ഭൂഷണ്‍ ട്വിറ്ററില്‍ പറഞ്ഞു.



ഗുരുതര കുറ്റകൃത്യങ്ങളുടെ പേരില്‍ തനിക്കെതിരെയുള്ള കേസുകള്‍ യോഗി ആദിത്യനാഥ് ഒന്നൊന്നായി സ്വയം പിന്‍വലിക്കുകയാണ്. പ്രതിഷേധിക്കുന്ന സ്ത്രീകളെയും കുട്ടികളെയും തല്ലിച്ചതയ്ക്കുന്നു. ആസാദി മുദ്രാവാക്യം വിളിക്കുന്നത് രാജ്യദ്രോഹമാണെന്നാണ് മുഖ്യമന്ത്രി യോഗി ആദിത്യനാഥ് പറയുന്നത്. ഇതിനെല്ലാം ഒരിക്കല്‍ കണക്കു പറയേണ്ടി വരും, ഹിറ്റ്‌ലറിന്റെ അവസാനം എങ്ങനെയായിരുന്നുവെന്ന് ഓര്‍മയില്ലേയെന്നും ട്വീറ്റില്‍ പ്രശാന്ത് ഭൂഷണ്‍ ചോദിക്കുന്നു.



പ്രതിഷേധങ്ങള്‍ക്കിടെ ആസാദി മുദ്രാവാക്യം വിളിക്കുന്നവരെ ഭീഷണിപ്പെടുത്തി യോഗി ആദിത്യനാഥ് നേരത്തെ രംഗത്തെത്തിയിരുന്നു. ആസാദി മുദ്രാവാക്യം രാജ്യദ്രോഹമാണെന്നും, ഇത്തരത്തില്‍ മുദ്രാവാക്യം വിളിക്കുന്നവര്‍ക്കെതിരെ കര്‍ശന നടപടിയെടുക്കുമെന്നും യോഗി ആദിത്യനാഥ് പറഞ്ഞിരുന്നു.",business
